Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,zdFF
Region1G,470,FD,-11.999999999999886,B1715,6,37840,0.037818627,0.037556022,-0.15437604948979966
Region1G,470,FD,-11.899999999999885,B1715,6,37841,0.037617297,0.037391457,-0.25792775396153683
Region1G,470,FD,-11.799999999999883,B1715,6,37842,0.036943861,0.037779528,-0.36468728921118604
Region1G,470,FD,-11.699999999999882,B1715,6,37843,0.036399393,0.037564776,-0.4444642369081303
Region1G,470,FD,-11.59999999999988,B1715,6,37844,0.035816993,0.036974206,-0.49302686110897653
Region1G,470,FD,-11.49999999999988,B1715,6,37845,0.035749883,0.037179038,-0.47240645633603107
Region1G,470,FD,-11.399999999999878,B1715,6,37846,0.035720705,0.037432306,-0.45122743348847905
Region1G,470,FD,-11.299999999999876,B1715,6,37847,0.036267507,0.037753852,-0.41512922484170484
Region1G,470,FD,-11.199999999999875,B1715,6,37848,0.036754785,0.037574113,-0.32551864086240484
Region1G,470,FD,-11.099999999999874,B1715,6,37849,0.038548669,0.037564776,-0.16236371727029664
Region1G,470,FD,-10.999999999999872,B1715,6,37850,0.038724323,0.037868814,0.05242695941490414
Region1G,470,FD,-10.89999999999987,B1715,6,37851,0.03921627,0.038018791,0.2680360915167413
Region1G,470,FD,-10.79999999999987,B1715,6,37852,0.040019841,0.037755602,0.47322912314364896
Region1G,470,FD,-10.699999999999868,B1715,6,37853,0.042277661,0.03800712,0.6525735382639116
Region1G,470,FD,-10.599999999999866,B1715,6,37854,0.043847456,0.038069561,0.8013232994959247
Region1G,470,FD,-10.499999999999865,B1715,6,37855,0.043497899,0.037727007,0.8952160515269065
Region1G,470,FD,-10.399999999999864,B1715,6,37856,0.042822129,0.037474323,0.9828364096681865
Region1G,470,FD,-10.299999999999862,B1715,6,37857,0.04232493,0.037528011,1.0425081007296058
Region1G,470,FD,-10.19999999999986,B1715,6,37858,0.041929272,0.037652894,1.0708955573243428
Region1G,470,FD,-10.09999999999986,B1715,6,37859,0.041887838,0.037745098,1.0295523747713984
Region1G,470,FD,-9.999999999999858,B1715,6,37860,0.041618231,0.037645892,0.9201397692413447
Region1G,470,FD,-9.899999999999856,B1715,6,37861,0.041178221,0.037853058,0.8047251960272231
Region1G,470,FD,-9.799999999999855,B1715,6,37862,0.04105859,0.037865313,0.7047815133427439
Region1G,470,FD,-9.699999999999854,B1715,6,37863,0.040681606,0.037713585,0.7145972819902189
Region1G,470,FD,-9.599999999999852,B1715,6,37864,0.03990838,0.037785948,0.864059401153973
Region1G,470,FD,-9.49999999999985,B1715,6,37865,0.039520308,0.03774043,1.0296801655795025
Region1G,470,FD,-9.39999999999985,B1715,6,37866,0.039502218,0.037705999,1.1864846434408727
Region1G,470,FD,-9.299999999999848,B1715,6,37867,0.042725257,0.037641807,1.3292883152178383
Region1G,470,FD,-9.199999999999847,B1715,6,37868,0.047189542,0.037840219,1.448812529445362
Region1G,470,FD,-9.099999999999845,B1715,6,37869,0.047586368,0.037722339,1.5740240774899017
Region1G,470,FD,-8.999999999999844,B1715,6,37870,0.04729225,0.038116246,1.6962282047126727
Region1G,470,FD,-8.899999999999842,B1715,6,37871,0.045985061,0.037646475,1.8117094435181325
Region1G,470,FD,-8.79999999999984,B1715,6,37872,0.045128385,0.037775444,1.9019854935189786
Region1G,470,FD,-8.69999999999984,B1715,6,37873,0.045109127,0.037908497,1.8780886915299
Region1G,470,FD,-8.599999999999838,B1715,6,37874,0.044445612,0.03835726,1.7104558548564357
Region1G,470,FD,-8.499999999999837,B1715,6,37875,0.043848039,0.038351424,1.5197105847613395
Region1G,470,FD,-8.399999999999835,B1715,6,37876,0.042801704,0.038037465,1.333150157521942
Region1G,470,FD,-8.299999999999834,B1715,6,37877,0.041999883,0.037822129,1.170795370132989
Region1G,470,FD,-8.199999999999832,B1715,6,37878,0.04142507,0.037879318,1.038946807428316
Region1G,470,FD,-8.099999999999831,B1715,6,37879,0.041185808,0.038045635,0.9181162753117512
Region1G,470,FD,-7.9999999999998295,B1715,6,37880,0.040807073,0.038035714,0.8138117062936782
Region1G,470,FD,-7.899999999999828,B1715,6,37881,0.040565476,0.037972106,0.703692241410557
Region1G,470,FD,-7.799999999999827,B1715,6,37882,0.040787815,0.038147759,0.6053518829453729
Region1G,470,FD,-7.699999999999825,B1715,6,37883,0.040981559,0.037986111,0.5185487162717402
Region1G,470,FD,-7.599999999999824,B1715,6,37884,0.040678688,0.038065476,0.4412277947092088
Region1G,470,FD,-7.499999999999822,B1715,6,37885,0.03988387,0.038065476,0.3764177144020447
Region1G,470,FD,-7.399999999999821,B1715,6,37886,0.039369748,0.037973273,0.31422223913084946
Region1G,470,FD,-7.2999999999998195,B1715,6,37887,0.039066293,0.037934757,0.26460340136366994
Region1G,470,FD,-7.199999999999818,B1715,6,37888,0.03876634,0.037899743,0.20587839669438804
